"GeoName","Quarter","per_Capita_Person_Income"
"United States","2019.Q3",56580
"United States","2019.Q4",56995
"United States","2020.Q1",57523
"United States","2020.Q2",62060
"United States","2020.Q3",60184
"United States","2020.Q4",59086
"Alabama","2019.Q3",44238
"Alabama","2019.Q4",44447
"Alabama","2020.Q1",45061
"Alabama","2020.Q2",49095
"Alabama","2020.Q3",46967
"Alabama","2020.Q4",46444
"Alaska *","2019.Q3",62779
"Alaska *","2019.Q4",63170
"Alaska *","2020.Q1",63177
"Alaska *","2020.Q2",67726
"Alaska *","2020.Q3",64723
"Alaska *","2020.Q4",63463
"Arizona","2019.Q3",46069
"Arizona","2019.Q4",46384
"Arizona","2020.Q1",46804
"Arizona","2020.Q2",51037
"Arizona","2020.Q3",49484
"Arizona","2020.Q4",48385
"Arkansas","2019.Q3",44732
"Arkansas","2019.Q4",44935
"Arkansas","2020.Q1",45362
"Arkansas","2020.Q2",50000
"Arkansas","2020.Q3",46575
"Arkansas","2020.Q4",46430
"California","2019.Q3",66783
"California","2019.Q4",67781
"California","2020.Q1",68563
"California","2020.Q2",73055
"California","2020.Q3",72705
"California","2020.Q4",71490
"Colorado","2019.Q3",61452
"Colorado","2019.Q4",61584
"Colorado","2020.Q1",62392
"Colorado","2020.Q2",65419
"Colorado","2020.Q3",63078
"Colorado","2020.Q4",63123
"Connecticut","2019.Q3",77122
"Connecticut","2019.Q4",77710
"Connecticut","2020.Q1",78228
"Connecticut","2020.Q2",81488
"Connecticut","2020.Q3",79906
"Connecticut","2020.Q4",79423
"Delaware","2019.Q3",54347
"Delaware","2019.Q4",54538
"Delaware","2020.Q1",54985
"Delaware","2020.Q2",58615
"Delaware","2020.Q3",56721
"Delaware","2020.Q4",56669
"District of Columbia","2019.Q3",83172
"District of Columbia","2019.Q4",83655
"District of Columbia","2020.Q1",84779
"District of Columbia","2020.Q2",88979
"District of Columbia","2020.Q3",88033
"District of Columbia","2020.Q4",86475
"Florida","2019.Q3",52402
"Florida","2019.Q4",52705
"Florida","2020.Q1",53294
"Florida","2020.Q2",56813
"Florida","2020.Q3",56169
"Florida","2020.Q4",55034
"Georgia","2019.Q3",48276
"Georgia","2019.Q4",48498
"Georgia","2020.Q1",49053
"Georgia","2020.Q2",52687
"Georgia","2020.Q3",52246
"Georgia","2020.Q4",50622
"Hawaii *","2019.Q3",57151
"Hawaii *","2019.Q4",57712
"Hawaii *","2020.Q1",58046
"Hawaii *","2020.Q2",65156
"Hawaii *","2020.Q3",61014
"Hawaii *","2020.Q4",58603
"Idaho","2019.Q3",46071
"Idaho","2019.Q4",46331
"Idaho","2020.Q1",46869
"Idaho","2020.Q2",50873
"Idaho","2020.Q3",48123
"Idaho","2020.Q4",48532
"Illinois","2019.Q3",58986
"Illinois","2019.Q4",59332
"Illinois","2020.Q1",59979
"Illinois","2020.Q2",65382
"Illinois","2020.Q3",64244
"Illinois","2020.Q4",62234
"Indiana","2019.Q3",48827
"Indiana","2019.Q4",49114
"Indiana","2020.Q1",49443
"Indiana","2020.Q2",53071
"Indiana","2020.Q3",51410
"Indiana","2020.Q4",51398
"Iowa","2019.Q3",52213
"Iowa","2019.Q4",52229
"Iowa","2020.Q1",52831
"Iowa","2020.Q2",58492
"Iowa","2020.Q3",54405
"Iowa","2020.Q4",55107
"Kansas","2019.Q3",53691
"Kansas","2019.Q4",54074
"Kansas","2020.Q1",54402
"Kansas","2020.Q2",58079
"Kansas","2020.Q3",55463
"Kansas","2020.Q4",56289
"Kentucky","2019.Q3",43847
"Kentucky","2019.Q4",44170
"Kentucky","2020.Q1",44554
"Kentucky","2020.Q2",49306
"Kentucky","2020.Q3",46010
"Kentucky","2020.Q4",46098
"Louisiana","2019.Q3",47315
"Louisiana","2019.Q4",47867
"Louisiana","2020.Q1",47820
"Louisiana","2020.Q2",52925
"Louisiana","2020.Q3",50450
"Louisiana","2020.Q4",48899
"Maine","2019.Q3",50686
"Maine","2019.Q4",51083
"Maine","2020.Q1",51711
"Maine","2020.Q2",57764
"Maine","2020.Q3",54089
"Maine","2020.Q4",53287
"Maryland","2019.Q3",64584
"Maryland","2019.Q4",65115
"Maryland","2020.Q1",65919
"Maryland","2020.Q2",70138
"Maryland","2020.Q3",69122
"Maryland","2020.Q4",67806
"Massachusetts","2019.Q3",74151
"Massachusetts","2019.Q4",74465
"Massachusetts","2020.Q1",75407
"Massachusetts","2020.Q2",84750
"Massachusetts","2020.Q3",80811
"Massachusetts","2020.Q4",77920
"Michigan","2019.Q3",49358
"Michigan","2019.Q4",49757
"Michigan","2020.Q1",49850
"Michigan","2020.Q2",56536
"Michigan","2020.Q3",53736
"Michigan","2020.Q4",51753
"Minnesota","2019.Q3",59048
"Minnesota","2019.Q4",59345
"Minnesota","2020.Q1",59766
"Minnesota","2020.Q2",64605
"Minnesota","2020.Q3",61032
"Minnesota","2020.Q4",60710
"Mississippi","2019.Q3",39071
"Mississippi","2019.Q4",39330
"Mississippi","2020.Q1",39795
"Mississippi","2020.Q2",44226
"Mississippi","2020.Q3",41796
"Mississippi","2020.Q4",41083
"Missouri","2019.Q3",48804
"Missouri","2019.Q4",49070
"Missouri","2020.Q1",49503
"Missouri","2020.Q2",53656
"Missouri","2020.Q3",50730
"Missouri","2020.Q4",50748
"Montana","2019.Q3",49921
"Montana","2019.Q4",50285
"Montana","2020.Q1",50394
"Montana","2020.Q2",56499
"Montana","2020.Q3",53032
"Montana","2020.Q4",53331
"Nebraska","2019.Q3",54978
"Nebraska","2019.Q4",55319
"Nebraska","2020.Q1",55834
"Nebraska","2020.Q2",59993
"Nebraska","2020.Q3",56996
"Nebraska","2020.Q4",58880
"Nevada","2019.Q3",51023
"Nevada","2019.Q4",51372
"Nevada","2020.Q1",51906
"Nevada","2020.Q2",56284
"Nevada","2020.Q3",54361
"Nevada","2020.Q4",51928
"New Hampshire","2019.Q3",63413
"New Hampshire","2019.Q4",63591
"New Hampshire","2020.Q1",64655
"New Hampshire","2020.Q2",69018
"New Hampshire","2020.Q3",66093
"New Hampshire","2020.Q4",65866
"New Jersey","2019.Q3",70589
"New Jersey","2019.Q4",71009
"New Jersey","2020.Q1",71978
"New Jersey","2020.Q2",78470
"New Jersey","2020.Q3",76611
"New Jersey","2020.Q4",73865
"New Mexico","2019.Q3",43463
"New Mexico","2019.Q4",43703
"New Mexico","2020.Q1",44236
"New Mexico","2020.Q2",48187
"New Mexico","2020.Q3",45885
"New Mexico","2020.Q4",44850
"New York","2019.Q3",71941
"New York","2019.Q4",72527
"New York","2020.Q1",73317
"New York","2020.Q2",78385
"New York","2020.Q3",76531
"New York","2020.Q4",73887
"North Carolina","2019.Q3",47780
"North Carolina","2019.Q4",48088
"North Carolina","2020.Q1",48649
"North Carolina","2020.Q2",51810
"North Carolina","2020.Q3",49963
"North Carolina","2020.Q4",49861
"North Dakota","2019.Q3",57608
"North Dakota","2019.Q4",57643
"North Dakota","2020.Q1",57955
"North Dakota","2020.Q2",62237
"North Dakota","2020.Q3",57844
"North Dakota","2020.Q4",59457
"Ohio","2019.Q3",50267
"Ohio","2019.Q4",50624
"Ohio","2020.Q1",51073
"Ohio","2020.Q2",55818
"Ohio","2020.Q3",53459
"Ohio","2020.Q4",52772
"Oklahoma","2019.Q3",47351
"Oklahoma","2019.Q4",47394
"Oklahoma","2020.Q1",47635
"Oklahoma","2020.Q2",52487
"Oklahoma","2020.Q3",48498
"Oklahoma","2020.Q4",48323
"Oregon","2019.Q3",53236
"Oregon","2019.Q4",53890
"Oregon","2020.Q1",54481
"Oregon","2020.Q2",59609
"Oregon","2020.Q3",57182
"Oregon","2020.Q4",55718
"Pennsylvania","2019.Q3",58112
"Pennsylvania","2019.Q4",58568
"Pennsylvania","2020.Q1",59025
"Pennsylvania","2020.Q2",65548
"Pennsylvania","2020.Q3",63431
"Pennsylvania","2020.Q4",60718
"Rhode Island","2019.Q3",56312
"Rhode Island","2019.Q4",56845
"Rhode Island","2020.Q1",57633
"Rhode Island","2020.Q2",64385
"Rhode Island","2020.Q3",61956
"Rhode Island","2020.Q4",59312
"South Carolina","2019.Q3",45419
"South Carolina","2019.Q4",45713
"South Carolina","2020.Q1",45809
"South Carolina","2020.Q2",49759
"South Carolina","2020.Q3",47342
"South Carolina","2020.Q4",47023
"South Dakota","2019.Q3",54270
"South Dakota","2019.Q4",54516
"South Dakota","2020.Q1",54932
"South Dakota","2020.Q2",59541
"South Dakota","2020.Q3",56228
"South Dakota","2020.Q4",58362
"Tennessee","2019.Q3",48751
"Tennessee","2019.Q4",48971
"Tennessee","2020.Q1",49444
"Tennessee","2020.Q2",52163
"Tennessee","2020.Q3",50335
"Tennessee","2020.Q4",50180
"Texas","2019.Q3",52968
"Texas","2019.Q4",53185
"Texas","2020.Q1",53383
"Texas","2020.Q2",56766
"Texas","2020.Q3",54935
"Texas","2020.Q4",54239
"Utah","2019.Q3",49070
"Utah","2019.Q4",49525
"Utah","2020.Q1",49956
"Utah","2020.Q2",55115
"Utah","2020.Q3",52052
"Utah","2020.Q4",51844
"Vermont","2019.Q3",55346
"Vermont","2019.Q4",55575
"Vermont","2020.Q1",56346
"Vermont","2020.Q2",62452
"Vermont","2020.Q3",58560
"Vermont","2020.Q4",57182
"Virginia","2019.Q3",59607
"Virginia","2019.Q4",60078
"Virginia","2020.Q1",60805
"Virginia","2020.Q2",64004
"Virginia","2020.Q3",62588
"Virginia","2020.Q4",62021
"Washington","2019.Q3",64918
"Washington","2019.Q4",65417
"Washington","2020.Q1",66019
"Washington","2020.Q2",70727
"Washington","2020.Q3",68882
"Washington","2020.Q4",67631
"West Virginia","2019.Q3",42279
"West Virginia","2019.Q4",42207
"West Virginia","2020.Q1",42734
"West Virginia","2020.Q2",48921
"West Virginia","2020.Q3",44762
"West Virginia","2020.Q4",43963
"Wisconsin","2019.Q3",53210
"Wisconsin","2019.Q4",53631
"Wisconsin","2020.Q1",53855
"Wisconsin","2020.Q2",58031
"Wisconsin","2020.Q3",54893
"Wisconsin","2020.Q4",55102
"Wyoming","2019.Q3",62197
"Wyoming","2019.Q4",62256
"Wyoming","2020.Q1",62440
"Wyoming","2020.Q2",65799
"Wyoming","2020.Q3",62463
"Wyoming","2020.Q4",62282
"New England","2019.Q3",69691
"New England","2019.Q4",70075
"New England","2020.Q1",70877
"New England","2020.Q2",77682
"New England","2020.Q3",74531
"New England","2020.Q4",72728
"Mideast","2019.Q3",66974
"Mideast","2019.Q4",67476
"Mideast","2020.Q1",68208
"Mideast","2020.Q2",73767
"Mideast","2020.Q3",71956
"Mideast","2020.Q4",69506
"Great Lakes","2019.Q3",52586
"Great Lakes","2019.Q4",52944
"Great Lakes","2020.Q1",53322
"Great Lakes","2020.Q2",58423
"Great Lakes","2020.Q3",56298
"Great Lakes","2020.Q4",55185
"Plains","2019.Q3",53763
"Plains","2019.Q4",54014
"Plains","2020.Q1",54457
"Plains","2020.Q2",58973
"Plains","2020.Q3",55673
"Plains","2020.Q4",56126
"Southeast","2019.Q3",49171
"Southeast","2019.Q4",49472
"Southeast","2020.Q1",49975
"Southeast","2020.Q2",53704
"Southeast","2020.Q3",52099
"Southeast","2020.Q4",51351
"Southwest","2019.Q3",50783
"Southwest","2019.Q4",51002
"Southwest","2020.Q1",51260
"Southwest","2020.Q2",54955
"Southwest","2020.Q3",52949
"Southwest","2020.Q4",52216
"Rocky Mountain","2019.Q3",55071
"Rocky Mountain","2019.Q4",55315
"Rocky Mountain","2020.Q1",55890
"Rocky Mountain","2020.Q2",59885
"Rocky Mountain","2020.Q3",57148
"Rocky Mountain","2020.Q4",57186
"Far West","2019.Q3",64363
"Far West","2019.Q4",65210
"Far West","2020.Q1",65914
"Far West","2020.Q2",70537
"Far West","2020.Q3",69607
"Far West","2020.Q4",68266
